date,price,sig_fast,sig_mom,sig_mr,sig_vol,combined,fdm,inst_vol,target_pos,current_pos,change,cost,daily_pnl,cum_pnl,equity
2024-09-19,62947.99,0.2988451880766323,-0.5527725198207637,-0.874685577629331,0.5,-0.43273681250623675,2.753598,,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2024-09-20,63201.05,0.4302524707269282,-0.4637238243168966,-0.7907287156031148,0.4957515971731277,-0.22610376391430134,2.753598,0.054309158166133964,-0.8326542761817098,0.0,-0.8326542761817098,0.0016653085523634197,-0.0016653085523634197,-166.53085523634218,99833.46914476366
2024-09-21,63348.96,0.527500271158235,-0.2856984447085767,-0.7043720435789679,0.47134215301647286,0.006038596278755232,2.753598,0.04397527292472674,0.027463598868807955,-0.8326542761817098,0.8601178750505178,0.0017202357501010356,-0.0036689042293436584,-532.8102924116101,99467.18970758839
2024-09-22,63578.76,0.602266025137641,-0.20210029541985677,-0.6549403095566992,0.47175722456208,0.1493707441361045,2.753598,0.04526539302462154,0.6599776745773803,0.027463598868807955,0.6325140757085723,0.0012650281514171447,-0.0011654032322384867,-648.7296767985099,99351.27032320149
2024-09-23,63339.99,0.6358980954233034,-0.27678865794828544,-0.5547431189744177,0.4717184386729554,0.19005660879589711,2.753598,0.048667027241630384,0.781048769846868,0.6599776745773803,0.12107109526948767,0.00024214219053897534,-0.00272068800299026,-919.033486048691,99080.96651395131
2024-09-24,64262.7,0.6973901435951642,-0.3986849683219369,-0.6000376079436601,0.42467809033670995,0.08491108906463632,2.753598,0.10238750363972167,0.16586221178595997,0.781048769846868,-0.615186558060908,0.001230373116121816,0.010147612741239403,86.40179216259276,100086.4017921626
2024-09-25,63152.01,0.6764096680908246,-0.5186936465947478,-0.41706045688308185,0.44766224678493083,0.1296378872074264,2.753598,0.14214879987060033,0.18239744173068959,0.16586221178595997,0.016535229944729612,3.3070459889459224e-05,-0.002899764514271667,-203.8252041154483,99796.17479588455
2024-09-26,65173.99,0.752191621064468,-0.3361925868171249,-0.6185531691762759,0.5137724229664762,0.2142425138759009,2.753598,0.22248634026530023,0.19258936402156726,0.18239744173068959,0.010191922290877675,2.038384458175535e-05,0.005819556629690056,376.9442865356541,100376.94428653565
2024-09-27,65769.95,0.8250499296804943,-0.1146474216981534,-0.6471119939201483,0.4846255258824957,0.3771851279399035,2.753598,0.21220066245142952,0.3554985395262253,0.19258936402156726,0.16290917550465803,0.0003258183510093161,0.0014352454933600708,521.0098434601678,100521.00984346017
2024-09-28,65858.0,0.8693316425414017,-0.03813124762668565,-0.6179327220818146,0.47675685248440686,0.4750125382161724,2.753598,0.19975174931263268,0.4756028819279349,0.3554985395262253,0.12010434240170959,0.00024020868480341919,0.0002357175764341973,544.7044122811931,100544.7044122812
2024-09-29,65602.01,0.8756289079577788,0.11654387252136687,-0.5320148909870893,0.43753426470608886,0.6179708301039262,2.753598,0.19093300108935596,0.6473169400555518,0.4756028819279349,0.17171405812761698,0.00034342811625523396,-0.002192096186113622,324.30074920511106,100324.30074920511
2024-09-30,63327.59,0.7569694241271138,-0.2415467822947383,-0.16932045561866585,0.5133487128972005,0.5916455692225011,2.753598,0.2493192611404869,0.47460879397450134,0.6473169400555518,-0.1727081460810505,0.000345416292162101,-0.022787877960655893,-1961.877172755907,98038.1228272441
2024-10-01,60805.78,0.5384200687859019,-0.08874257515046662,0.2782786477422104,0.3765418148687285,0.7603358408310259,2.753598,0.30113390899572423,0.5049818822242446,0.47460879397450134,0.03037308824974322,6.074617649948644e-05,-0.018960458019834075,-3820.724884965195,96179.2751150348
2024-10-02,60649.28,0.36487497702361477,-0.006410650727597523,0.35290645335336135,0.36794833269614113,0.7430027372790998,2.753598,0.2887175909115382,0.5146916992021817,0.5049818822242446,0.009709816977937158,1.9419633955874316e-05,-0.0013191260856796247,-3947.597475671195,96052.4025243288
2024-10-03,60752.71,0.23837849098601782,0.35736064157370206,0.3386907404075009,0.22982839496145593,0.8014748095129672,2.753598,0.27784969151782724,0.576912506279708,0.5146916992021817,0.06222080707752631,0.00012444161415505262,0.0007533027291987947,-3875.240938703515,96124.75906129649
2024-10-04,62086.0,0.208443299130588,1.0,0.11297155200654863,-0.2052305530541812,0.7683807127081576,2.753598,0.28577756813585886,0.5377473940451959,0.576912506279708,-0.039165112234512134,7.833022446902426e-05,0.012582696345336172,-2665.7322841666173,97334.26771583338
2024-10-05,62058.0,0.1824717870488011,0.8405710066635627,0.1593930420315427,-0.3220248794525875,0.5923064721054658,2.753598,0.2759234611101135,0.4293266471234155,0.5377473940451959,-0.10842074692178039,0.00021684149384356078,-0.00045935876075177954,-2710.443632763243,97289.55636723676
2024-10-06,62819.91,0.19916757503291288,1.0,0.055704011795832085,-0.3480155264281814,0.6242792585517178,2.753598,0.27211152885408335,0.45884072694801575,0.4293266471234155,0.029514079824600248,5.9028159649200494e-05,0.005211980666123491,-2203.3723459614703,97796.62765403853
2024-10-07,62224.0,0.17910168354759134,0.06777338221157841,0.24732972928454686,-1.0,-0.348189166194303,2.753598,0.26644049623378757,-0.26136354729559225,0.45884072694801575,-0.720204274243608,0.001440408548487216,-0.0057929741219748965,-2769.9056791777257,97230.09432082227
2024-10-08,62160.49,0.15893484732673235,0.17034590348419146,0.273700377840247,-1.0,-0.27330759252709835,2.753598,0.25848279828014775,-0.2114706234578003,-0.26136354729559225,0.04989292383779195,9.978584767558391e-05,0.0001669793697444284,-2753.670259307837,97246.32974069216
2024-10-09,60636.02,0.06477436320968255,-0.03741150781876047,0.6215082007240886,-1.0,-0.24171698940595468,2.753598,0.26897812735220783,-0.17972984776523737,-0.2114706234578003,0.03174077569256292,6.348155138512584e-05,0.005122780998068919,-2255.498609180271,97744.50139081973
2024-10-10,60326.39,-0.02151430649918948,0.21944280007595512,0.6239950025403813,-1.0,-0.12258777623470409,2.753598,0.2619934947458874,-0.0935807786781915,-0.17972984776523737,0.08614906908704587,0.00017229813817409173,0.0007454691025443791,-2182.6331034498144,97817.36689655019
2024-10-11,62540.0,0.028936415926620062,0.4303294486129129,0.07736322192761066,-1.0,-0.31898430519056165,2.753598,0.29512813229440255,-0.21616665460570977,-0.0935807786781915,-0.12258587592751827,0.00024517175185503654,-0.003679014676814262,-2542.5046319095563,97457.49536809044
2024-10-12,63206.22,0.10041383555786773,0.3470032267647177,-0.09111269760628785,-1.0,-0.44311975348148314,2.753598,0.29045902506529264,-0.305116877247573,-0.21616665460570977,-0.08895022264186325,0.00017790044528372652,-0.0024806594576185052,-2784.2634895102237,97215.73651048978
2024-10-13,62870.02,0.1344243126705595,0.5716962887957365,-0.013970540948030666,-1.0,-0.21192374441425643,2.753598,0.28397707241272735,-0.14925412295697602,-0.305116877247573,0.155862754290597,0.00031172550858119403,0.0013112206845408807,-2656.7922049347835,97343.20779506522
2024-10-14,66083.99,0.325316588658695,1.0,-0.7400650853420757,-0.8481316504938442,-0.18096656187672802,2.753598,0.3383776921194948,-0.10696128385013126,-0.14925412295697602,0.042292839106844754,8.45856782136895e-05,-0.007714586011600464,-3407.7547541149106,96592.24524588509
2024-10-15,67074.14,0.5117970019407692,1.0,-0.8254944986871551,-0.8307785547532812,-0.09945724161434512,2.753598,0.3340604919091258,-0.05954445019580489,-0.10696128385013126,0.04741683365432637,9.483366730865274e-05,-0.001697456559845958,-3571.715894437788,96428.28410556221
2024-10-16,67620.01,0.6681531984680358,1.0,-0.8341997188647006,-0.8020620894797202,0.021954017015401485,2.753598,0.32704427049905166,0.013425715718487198,-0.05954445019580489,0.07297016591429209,0.00014594033182858417,-0.000630531398197591,-3632.5169552406587,96367.48304475934
2024-10-17,67421.78,0.7612140627505926,1.0,-0.7386638242620204,-0.7963090956063048,0.1557442896395815,2.753598,0.3202258612021828,0.09727152520092583,0.013425715718487198,0.08384580948243864,0.00016769161896487727,-0.00020704948990981855,-3652.469793448967,96347.53020655103
2024-10-18,68428.0,0.8685763669051597,1.0,-0.8230817477020003,-0.773598994798324,0.1871728118924765,2.753598,0.31660792927627646,0.11823633875520971,0.09727152520092583,0.02096481355428388,4.192962710856776e-05,0.001409775653999051,-3516.64139104083,96483.35860895917
2024-10-19,68378.0,0.9301081681920502,1.0,-0.7365542963301891,-0.7544217559385233,0.3022983290355677,2.753598,0.3099419594174865,0.19506770209733176,0.11823633875520971,0.07683136334212205,0.0001536627266842441,-0.0002400574326198335,-3539.802938399036,96460.19706160096
2024-10-20,69031.99,0.9932128230267404,0.9363183491817741,-0.7254615919772053,-0.790575562533057,0.284649075036468,2.753598,0.30438492549396273,0.1870323075786576,0.19506770209733176,-0.00803539451867416,1.607078903734832e-05,0.0018496217801315994,-3361.388056998112,96638.61194300189
2024-10-21,67377.5,0.9404874165623268,0.8368922977696249,-0.4466075137968488,-0.7418467814234854,0.40541596405372793,2.753598,0.3135770146353227,0.25857505182591917,0.1870323075786576,0.07154274424726156,0.00014308548849452314,-0.004625689605307826,-3808.4082797342417,96191.59172026576
2024-10-22,67426.0,0.8913772097138877,0.3828639217171422,-0.4114924992488202,-0.9029317198137753,-0.02766201743402605,2.753598,0.30709614193430557,-0.01801521651154025,0.25857505182591917,-0.2765902683374594,0.0005531805366749188,-0.0003670517842938178,-3843.715575109236,96156.28442489076
2024-10-23,66668.65,0.8055843784530188,0.28454902709899316,-0.27194723413990707,-0.8596000785748388,-0.028509312983872406,2.753598,0.3045313948023251,-0.018723398290267007,-0.01801521651154025,-0.0007081817787267554,1.416363557453511e-06,0.00020093620407246794,-3824.3942963191803,96175.60570368082
2024-10-24,68198.28,0.8082760235939122,0.4507376498400191,-0.4497209401614115,-0.8046758209908385,0.0031782801062532405,2.753598,0.3083311144384427,0.002061601932092892,-0.018723398290267007,0.0207850002223599,4.15700004447198e-05,-0.00047115529618328803,-3869.707942310095,96130.2920576899
2024-10-25,66698.33,0.7245290983486649,0.4479749160546313,-0.20188592361344576,-0.7784080922954314,0.1323172668585587,2.753598,0.3144128537461573,0.08416784828102841,0.002061601932092892,0.08210624634893551,0.00016421249269787103,-0.00020955527580094534,-3889.8525521750707,96110.14744782493
2024-10-26,67092.76,0.673477762607278,0.9327798655285543,-0.2332855138181294,-0.9092593458424342,0.3192196379619908,2.753598,0.3086611350156675,0.20684148520725643,0.08416784828102841,0.12267363692622801,0.00024534727385245605,0.00025239119122583066,-3865.5951975718344,96134.40480242817
2024-10-27,68021.7,0.6730571526649087,1.0,-0.3398964442011798,-0.8710487440569794,0.31811764524162417,2.753598,0.3058611176074671,0.20801443984121365,0.20684148520725643,0.0011729546339572239,2.345909267914448e-06,0.0028615000447281755,-3590.5065939297783,96409.49340607022
2024-10-28,69962.21,0.7586983249183291,1.0,-0.5832171696772162,-0.808534442444485,0.2526059336158422,2.753598,0.3146424829784446,0.16056695918786507,0.20801443984121365,-0.047447480653348584,9.489496130669717e-05,0.005839301047559248,-3027.542538089052,96972.45746191095
2024-10-29,72736.42,0.944743496947106,1.0,-0.9091396768558175,-0.7249860706511632,0.21382910340570757,2.753598,0.33536204244663037,0.12752135086351427,0.16056695918786507,-0.0330456083243508,6.60912166487016e-05,0.006300866943314593,-2416.5319864553167,97583.46801354468
2024-10-30,72344.74,1.0,1.0,-0.807600140504123,-0.7049250975908015,0.33557738235807316,2.753598,0.3307011999345402,0.20294899590597082,0.12752135086351427,0.07542764504245655,0.0001508552900849131,-0.0008375479085313512,-2498.2628159972955,97501.7371840027
2024-10-31,70292.01,1.0,1.0,-0.4382145145112142,-0.6883810826982855,0.6012511541787791,2.753598,0.3437701832340844,0.34979831498031194,0.20294899590597082,0.14684931907434112,0.00029369863814868223,-0.006052230528180568,-3088.365806332964,96911.63419366704
2024-11-01,69496.01,0.917839405790598,1.0,-0.2663061559422904,-0.7001521961066541,0.6549302417052274,2.753598,0.34096317708564916,0.3841647929862587,0.34979831498031194,0.03436647800594678,6.873295601189356e-05,-0.004029915154733043,-3478.911469639963,96521.08853036004
